region,area,sexo,edad,ecivil,educc,e3,activ,o15,o10,o19,yoprcor,ypchtotcor,pobreza_severa,pueblos_indigenas,lugar_nac
5,1,1,4,NA,0,1,NA,NA,NA,NA,NA,475000,4,0,0
13,1,1,32,2,6,2,1,5,44,1,320000,277825,4,0,1
1,1,2,60,1,4,2,3,NA,NA,NA,NA,550000,4,0,0
6,1,2,34,1,6,2,1,3,39,1,1533000,1162000,4,0,0
8,1,1,54,1,6,2,1,5,44,1,500000,966667,4,0,0
8,1,2,45,8,4,2,2,NA,NA,NA,NA,403000,4,0,0
6,2,2,68,1,1,2,3,NA,NA,NA,NA,530999,4,0,0
13,1,1,16,8,3,1,3,NA,NA,NA,NA,1022500,4,0,0
2,1,2,78,1,4,2,3,NA,NA,NA,NA,804800,4,0,0
13,1,2,71,1,1,2,1,7,18,1,500000,367346,3,0,0
13,1,2,31,8,6,2,1,5,45,1,1100000,1218889,4,0,0
13,1,2,39,1,5,2,1,2,12,NA,225000,1372222,4,0,0
13,1,1,14,8,3,1,NA,NA,NA,NA,NA,224000,3,0,1
2,1,1,46,1,6,2,1,5,44,1,7000000,2780000,4,1,0
12,1,1,62,2,4,2,1,5,40,1,600000,408452,4,0,0
2,1,2,17,8,4,2,2,NA,NA,NA,NA,150000,2,0,1
14,2,2,12,NA,1,1,NA,NA,NA,NA,NA,332067,3,0,0
13,1,1,44,8,3,2,1,5,60,1,480000,397497,3,0,1
12,1,2,52,1,4,2,3,NA,NA,NA,NA,758542,4,0,0
7,1,1,14,8,2,1,NA,NA,NA,NA,NA,309508,4,0,0
13,2,1,70,2,2,2,1,5,44,3,600000,742148,4,0,0
13,1,2,69,5,4,2,3,NA,NA,NA,NA,1115556,4,0,0
14,1,2,22,8,5,1,3,NA,NA,NA,NA,276764,4,1,0
13,1,1,29,8,0,2,3,NA,NA,NA,NA,336393,3,0,0
10,1,2,67,1,1,2,3,NA,NA,NA,NA,564291,4,0,0
15,1,2,21,2,5,1,3,NA,NA,NA,NA,560125,4,0,0
16,2,2,67,1,3,2,3,NA,NA,NA,NA,250765,4,0,0
10,2,1,22,2,4,2,1,5,44,1,500000,268178,4,1,0
4,1,2,7,NA,1,1,NA,NA,NA,NA,NA,1072678,4,0,0
8,1,1,10,NA,1,1,NA,NA,NA,NA,NA,160393,2,0,0
13,1,1,1,NA,0,2,NA,NA,NA,NA,NA,207427,3,0,0
11,1,2,38,3,6,2,3,NA,NA,NA,NA,795278,4,0,0
7,2,2,29,6,6,2,1,5,44,1,700000,225000,2,0,0
2,1,1,5,NA,0,2,NA,NA,NA,NA,NA,128571,1,0,1
15,1,1,9,NA,1,1,NA,NA,NA,NA,NA,373119,4,0,0
5,1,1,19,8,5,1,3,NA,NA,NA,NA,242000,4,0,0
9,1,1,80,1,3,2,3,NA,NA,NA,NA,452735,NA,0,0
6,1,1,24,8,6,2,1,5,44,1,1000000,681458,4,0,0
4,1,1,60,2,4,2,1,5,44,1,550000,292811,4,0,0
5,1,2,70,1,1,2,3,NA,NA,NA,NA,304330,4,0,0
13,1,2,68,1,4,2,3,NA,NA,NA,NA,618797,4,1,0
9,1,2,41,1,6,2,3,NA,NA,NA,NA,355208,4,0,0
13,1,2,78,1,6,2,3,NA,NA,NA,NA,1401931,4,0,0
7,2,1,42,1,4,2,1,5,25,3,300000,200000,2,0,0
1,1,1,39,5,5,2,2,NA,NA,NA,NA,365445,NA,0,0
3,1,2,91,7,1,2,3,NA,NA,NA,NA,218833,2,0,0
13,1,1,24,8,5,1,1,5,44,1,700000,383333,4,0,0
10,1,2,30,8,6,2,1,2,44,NA,400000,207669,2,1,0
13,1,1,40,8,6,2,1,5,84,1,800000,1600000,4,0,1
5,1,2,32,7,6,1,1,5,40,1,1600000,2080834,4,0,0
6,1,2,33,2,2,2,2,NA,NA,NA,NA,135192,1,0,0
9,2,2,83,1,1,2,3,NA,NA,NA,NA,440556,4,0,0
9,1,1,62,1,3,2,1,3,40,1,400000,220668,2,0,0
5,1,2,9,NA,1,1,NA,NA,NA,NA,NA,302262,4,0,0
9,1,2,61,1,3,2,1,2,45,NA,350000,839765,4,0,0
2,1,2,29,8,6,2,1,4,40,1,1200000,1100000,4,0,0
9,2,2,56,1,4,2,1,5,48,1,500000,433333,4,0,0
10,1,1,43,1,6,1,1,2,20,NA,1000000,823611,4,0,0
2,1,1,9,NA,1,2,NA,NA,NA,NA,NA,410000,3,0,1
7,1,1,46,8,4,2,3,NA,NA,NA,NA,500000,2,0,0
13,1,1,34,2,6,2,1,1,35,NA,750000,850000,4,0,0
14,1,1,91,1,6,2,3,NA,NA,NA,NA,1032000,4,0,0
4,1,2,13,NA,1,1,NA,NA,NA,NA,NA,202575,2,1,0
15,1,2,35,2,4,2,1,2,30,NA,500000,336050,4,0,0
14,2,1,26,1,6,2,1,4,48,1,500000,352570,4,1,0
13,1,2,35,8,1,2,3,NA,NA,NA,NA,200171,3,0,0
10,1,1,33,8,6,2,1,2,44,NA,100000,1500000,4,0,0
9,1,1,61,1,2,2,1,2,5,NA,120000,306321,2,0,0
2,1,1,73,2,4,2,1,5,40,1,500000,996431,4,0,0
11,1,2,68,8,3,2,3,NA,NA,NA,NA,187696,2,0,0
16,1,2,67,8,4,2,3,NA,NA,NA,NA,630286,2,0,0
13,2,1,18,8,4,2,3,NA,NA,NA,NA,424400,3,0,1
13,1,2,7,NA,1,1,NA,NA,NA,NA,NA,315431,3,1,0
12,1,1,53,8,6,2,3,NA,NA,NA,NA,866667,4,0,0
16,1,2,28,8,5,1,3,NA,NA,NA,NA,323333,4,0,0
2,1,1,62,1,6,2,1,5,84,1,3400000,3255834,4,0,0
16,1,2,25,8,5,1,2,NA,NA,NA,NA,312813,4,0,0
13,1,2,52,8,6,2,1,1,45,NA,1000000,581458,4,0,1
3,1,1,34,8,6,2,2,NA,NA,NA,NA,469647,4,0,0
6,2,1,28,8,5,1,3,NA,NA,NA,NA,416667,4,0,0
2,1,1,29,2,4,2,1,5,32,1,700000,190000,2,0,0
5,2,2,60,1,6,2,1,2,40,NA,2000000,2100000,4,0,0
8,1,2,44,1,6,2,1,3,38,1,1200000,602833,4,0,0
6,1,1,17,8,3,1,3,NA,NA,NA,NA,292762,4,0,0
5,1,1,64,1,3,2,1,5,44,1,800000,447222,4,0,0
5,1,2,4,NA,0,1,NA,NA,NA,NA,NA,211004,3,0,0
10,2,2,45,2,6,2,1,3,44,1,600000,534722,4,0,0
5,1,1,59,8,3,2,1,2,40,NA,300000,617546,4,0,0
3,1,2,12,NA,1,1,NA,NA,NA,NA,NA,312500,4,0,0
13,1,1,67,1,5,2,3,NA,NA,NA,NA,1033333,4,0,0
13,1,1,44,2,3,2,1,2,12,NA,500000,277445,4,0,0
14,1,1,12,NA,1,1,NA,NA,NA,NA,NA,225000,4,0,0
15,1,1,7,NA,1,1,NA,NA,NA,NA,NA,188396,4,0,0
4,1,2,59,5,6,2,1,3,44,1,1600000,1966667,4,0,0
13,1,1,12,NA,1,1,NA,NA,NA,NA,NA,556592,4,0,0
13,1,2,73,7,3,2,3,NA,NA,NA,NA,720000,4,0,0
13,1,2,47,8,4,2,1,7,24,1,500000,454262,4,0,1
6,2,2,44,6,4,2,1,5,45,1,600000,350675,4,0,0
13,1,1,40,2,6,2,1,5,44,1,1500000,1364722,4,0,0
12,1,1,33,8,4,2,1,5,44,1,500000,501333,4,0,0
13,1,2,34,5,4,2,3,NA,NA,NA,NA,497684,3,0,0
7,1,1,55,1,4,2,1,5,44,1,300000,220667,2,0,0
15,1,2,48,6,5,2,1,5,45,1,480000,212263,4,1,1
13,1,2,11,NA,1,1,NA,NA,NA,NA,NA,194408,2,0,0
2,1,2,16,8,3,1,3,NA,NA,NA,NA,259803,3,0,0
8,1,1,54,8,5,2,1,5,44,1,500000,1000000,4,0,0
8,1,1,47,1,4,2,1,5,45,1,1000000,556518,4,0,0
5,1,1,30,2,6,2,1,3,45,1,800000,850000,4,0,0
13,1,2,31,8,3,2,1,2,70,NA,300000,364884,4,0,0
8,1,1,1,NA,0,2,NA,NA,NA,NA,NA,318638,4,0,0
13,1,1,57,1,3,2,1,2,48,NA,200000,300000,2,0,0
6,2,2,27,2,5,2,1,3,44,1,630000,505000,4,0,0
14,1,2,33,2,4,2,1,3,40,1,500000,252917,4,0,0
2,1,2,7,NA,1,1,NA,NA,NA,NA,NA,489191,4,0,0
1,1,2,32,1,6,2,3,NA,NA,NA,NA,140000,2,0,1
14,1,2,66,1,6,2,3,NA,NA,NA,NA,1551542,4,0,0
3,1,1,34,8,4,2,1,5,24,1,600000,538867,4,0,0
4,1,1,58,1,4,2,1,2,50,NA,500000,646667,4,0,0
13,1,2,56,8,4,2,3,NA,NA,NA,NA,614296,2,1,0
9,2,2,15,8,3,1,3,NA,NA,NA,NA,132545,2,1,0
5,1,1,24,8,4,2,1,5,40,1,500000,500000,4,0,1
5,1,1,21,8,4,2,1,5,48,3,360000,487848,3,0,0
4,1,1,56,5,4,2,1,2,48,NA,600000,150000,NA,0,1
6,1,2,54,2,6,2,3,NA,NA,NA,NA,178752,3,0,0
16,1,1,28,1,6,2,3,NA,NA,NA,NA,362500,4,0,0
9,1,1,33,8,5,2,1,2,44,NA,NA,378000,4,0,0
9,1,2,2,NA,0,1,NA,NA,NA,NA,NA,560786,4,1,0
16,1,1,6,NA,0,1,NA,NA,NA,NA,NA,237928,2,0,0
8,1,1,40,1,4,2,1,5,48,1,1300000,825000,4,0,0
12,1,2,30,2,4,2,1,5,44,1,550000,355311,4,0,1
3,1,2,21,8,4,2,1,2,12,NA,100000,468883,3,0,0
2,1,1,41,2,4,2,1,5,50,1,1200000,641250,4,0,0
9,1,2,9,NA,1,1,NA,NA,NA,NA,NA,533333,4,1,0
4,1,2,70,2,1,2,3,NA,NA,NA,NA,398144,4,0,0
4,1,1,17,8,3,1,3,NA,NA,NA,NA,169000,2,1,0
16,2,1,61,2,1,2,1,5,44,1,720000,427069,3,0,0
11,1,2,78,7,2,2,1,5,44,1,500000,675620,4,0,0
15,1,2,15,8,3,1,3,NA,NA,NA,NA,183617,NA,0,0
13,1,2,29,8,5,2,1,5,48,1,500000,228916,2,0,0
1,1,2,56,2,3,2,3,NA,NA,NA,NA,405943,4,0,0
9,1,1,10,NA,1,1,NA,NA,NA,NA,NA,1141500,4,0,0
13,1,2,39,8,6,2,1,2,5,NA,250000,325000,2,0,0
13,1,1,57,1,4,2,1,2,44,NA,580000,421482,3,0,0
7,2,2,60,1,2,2,3,NA,NA,NA,NA,395000,4,0,0
9,1,2,15,8,2,1,3,NA,NA,NA,NA,308844,4,0,0
5,2,2,52,1,2,2,3,NA,NA,NA,NA,350000,4,1,0
13,2,1,30,2,4,2,1,2,60,NA,NA,460199,4,0,0
10,2,1,64,5,3,2,3,NA,NA,NA,NA,290000,2,0,0
5,2,2,81,1,6,2,3,NA,NA,NA,NA,1300000,4,0,0
9,1,1,40,2,4,2,1,3,60,1,500000,551995,4,0,0
11,1,1,30,2,3,2,1,5,44,1,750000,329503,4,0,1
14,1,1,53,1,4,2,1,2,40,NA,700000,553500,4,1,0
1,1,1,33,1,4,2,1,4,40,3,700000,667500,4,0,0
6,1,2,33,8,3,2,2,NA,NA,NA,NA,279157,3,0,0
7,1,2,19,2,4,2,1,5,44,1,500000,416667,3,0,1
14,1,2,29,8,6,2,2,NA,NA,NA,NA,384250,NA,0,0
1,1,1,23,8,4,2,2,NA,NA,NA,NA,342333,4,0,0
5,1,2,25,8,6,2,2,NA,NA,NA,NA,180724,2,0,0
7,1,1,40,2,4,2,2,NA,NA,NA,NA,500889,4,0,0
16,1,1,41,1,6,2,1,5,44,1,750000,314338,4,0,0
15,2,1,49,2,3,2,1,5,44,1,550000,220100,2,1,1
9,1,2,70,1,4,2,3,NA,NA,NA,NA,371398,4,1,0
6,2,1,4,NA,0,1,NA,NA,NA,NA,NA,342974,4,0,0
4,1,1,58,1,1,2,1,5,44,1,512000,337333,4,0,0
8,1,1,11,NA,1,1,NA,NA,NA,NA,NA,426630,4,0,0
8,2,1,54,1,2,2,1,3,44,1,370000,252338,3,0,0
1,1,2,41,1,5,1,1,2,44,NA,NA,89694,1,0,0
8,1,2,6,NA,0,1,NA,NA,NA,NA,NA,438248,3,0,0
14,2,2,4,NA,0,1,NA,NA,NA,NA,NA,1476389,4,0,0
13,1,2,29,2,4,2,1,2,30,NA,200000,274771,3,0,0
13,1,1,55,5,2,2,1,5,55,1,500000,415881,4,0,0
8,1,2,16,8,3,1,3,NA,NA,NA,NA,236517,1,0,0
6,2,1,35,2,1,2,1,2,50,NA,400000,352512,4,0,0
8,1,2,64,8,4,2,3,NA,NA,NA,NA,406611,2,0,0
3,1,1,8,NA,1,1,NA,NA,NA,NA,NA,553988,4,0,0
12,1,1,25,8,4,2,1,5,40,1,500000,688667,4,0,0
1,1,2,38,1,4,2,3,NA,NA,NA,NA,324374,4,0,0
8,1,1,29,8,4,2,3,NA,NA,NA,NA,200500,2,0,0
7,1,2,64,1,1,2,3,NA,NA,NA,NA,404919,4,0,0
2,1,1,11,NA,0,1,NA,NA,NA,NA,NA,580834,4,0,0
6,1,2,24,8,5,1,3,NA,NA,NA,NA,304696,4,0,0
5,1,1,74,1,4,2,1,1,44,NA,500000,685000,4,0,0
6,1,1,45,1,6,2,1,5,44,1,4500000,1841667,4,0,0
2,1,2,17,8,3,1,3,NA,NA,NA,NA,2000000,4,0,0
13,1,1,49,2,4,2,1,5,42,1,500000,320000,3,0,0
8,1,2,22,2,0,2,3,NA,NA,NA,NA,207098,3,0,0
13,1,1,31,8,3,2,1,5,44,1,600000,265714,3,0,0
1,1,1,63,5,6,2,3,NA,NA,NA,NA,371897,4,0,0
9,2,2,22,8,3,1,3,NA,NA,NA,NA,266667,4,0,0
4,1,1,59,3,1,2,1,5,40,1,600000,454628,4,0,0
5,1,1,55,1,3,2,1,5,72,1,800000,595599,4,0,0
9,1,2,22,2,4,2,1,5,20,3,150000,353750,4,1,0
6,2,1,33,8,6,2,1,2,48,NA,500000,266667,4,0,0
10,1,2,17,8,3,1,3,NA,NA,NA,NA,183553,1,1,0
3,1,2,61,8,2,2,1,2,30,NA,170000,623253,3,1,0
5,1,1,31,2,4,2,1,5,45,1,260000,157536,1,0,1
8,1,1,23,8,5,1,1,5,16,3,80000,80000,2,0,0
9,2,1,50,2,3,2,1,2,20,NA,400000,325000,NA,1,0
7,2,1,70,1,3,2,3,NA,NA,NA,NA,376862,4,0,0
16,1,1,20,8,5,1,3,NA,NA,NA,NA,286973,4,0,0
6,2,2,69,1,2,2,3,NA,NA,NA,NA,425020,4,0,0
6,1,1,43,2,4,2,1,5,44,1,1000000,2344167,4,0,0
13,1,2,72,2,4,2,3,NA,NA,NA,NA,388095,4,0,0
10,1,2,61,1,2,2,1,2,36,NA,650000,1043066,4,0,0
12,2,2,29,2,4,2,1,5,44,1,700000,437500,4,0,0
10,2,1,55,8,3,2,1,5,44,1,450000,227508,4,0,0
5,2,1,29,8,4,2,3,NA,NA,NA,NA,232777,4,0,0
13,1,2,67,5,5,2,3,NA,NA,NA,NA,458265,4,0,0
13,2,2,41,8,6,2,1,5,45,1,1000000,433333,4,0,0
13,1,2,65,2,6,2,1,5,40,1,2500000,2659583,4,0,0
7,2,1,22,8,4,2,1,3,44,1,500000,153799,1,0,0
9,2,2,48,1,2,2,3,NA,NA,NA,NA,223595,1,0,0
8,1,1,11,NA,1,1,NA,NA,NA,NA,NA,83333,2,0,0
9,1,2,53,1,3,2,3,NA,NA,NA,NA,100000,NA,0,0
13,1,2,24,8,4,2,1,2,25,NA,100000,221567,3,0,0
3,1,1,56,2,1,2,2,NA,NA,NA,NA,490000,3,0,1
13,1,1,27,8,4,2,1,5,44,1,400000,444126,4,0,0
8,1,2,41,5,6,2,1,5,40,1,2040000,3272917,4,0,0
9,2,2,57,8,2,2,1,7,35,3,300000,316211,NA,1,0
8,1,2,44,2,4,2,3,NA,NA,NA,NA,240746,2,0,0
2,1,2,60,8,1,2,3,NA,NA,NA,NA,368820,4,1,0
2,1,1,38,8,6,2,1,3,44,1,500000,416667,4,0,0
13,1,1,36,2,4,2,1,2,60,NA,1000000,312500,NA,0,1
13,1,2,73,1,5,2,3,NA,NA,NA,NA,1465325,4,0,0
2,1,1,43,2,6,2,1,3,44,1,2000000,1327292,4,0,0
5,1,1,71,6,4,2,3,NA,NA,NA,NA,761991,4,0,0
2,1,2,26,2,4,1,3,NA,NA,NA,NA,480652,4,0,0
3,1,1,27,2,4,2,1,5,44,3,500000,915209,4,0,0
15,2,2,27,2,4,2,2,NA,NA,NA,NA,243429,3,1,1
16,2,2,74,1,4,2,3,NA,NA,NA,NA,474245,4,0,0
8,2,2,74,8,1,2,3,NA,NA,NA,NA,431119,1,0,0
7,2,2,61,1,4,2,2,NA,NA,NA,NA,153799,1,0,0
13,1,1,8,NA,1,1,NA,NA,NA,NA,NA,36829,2,0,0
7,2,1,64,8,1,2,1,2,44,NA,NA,378583,2,0,0
13,1,2,63,1,1,2,3,NA,NA,NA,NA,640000,4,0,0
13,1,2,27,8,4,2,1,2,6,NA,50000,128111,2,0,0
8,1,1,28,2,4,2,2,NA,NA,NA,NA,131534,1,0,-88
6,1,2,25,2,5,1,3,NA,NA,NA,NA,374595,4,0,0
8,1,2,8,NA,1,1,NA,NA,NA,NA,NA,226625,2,0,0
1,1,1,34,8,5,2,2,NA,NA,NA,NA,651667,4,1,0
4,1,1,61,1,1,2,3,NA,NA,NA,NA,150000,NA,0,0
8,1,2,57,1,2,2,3,NA,NA,NA,NA,233333,2,0,0
8,1,1,29,2,6,1,1,3,44,1,1300000,1286389,4,0,0
4,1,2,49,7,4,2,1,2,6,NA,150000,325000,2,0,0
13,1,1,72,1,2,2,1,2,10,NA,NA,447148,4,0,0
7,1,1,17,8,4,1,3,NA,NA,NA,NA,270000,4,0,0
8,1,1,29,2,4,2,1,2,45,NA,400000,615275,4,0,0
15,1,2,34,8,4,2,1,5,44,1,650000,249856,2,0,0
13,1,2,22,8,5,2,3,NA,NA,NA,NA,360417,4,0,0
6,1,2,16,8,3,1,3,NA,NA,NA,NA,525000,4,0,0
10,1,2,48,2,3,2,3,NA,NA,NA,NA,140000,2,0,0
10,1,2,0,NA,0,2,NA,NA,NA,NA,NA,552896,4,0,0
13,1,1,18,8,5,1,2,NA,NA,NA,NA,754542,4,0,0
2,1,2,30,8,5,1,1,5,56,1,800000,410476,3,0,0
6,2,2,27,2,6,2,1,5,44,1,500000,412500,4,0,0
13,1,1,77,1,2,2,3,NA,NA,NA,NA,363185,4,0,0
9,2,1,30,8,4,2,1,5,45,1,400000,262500,4,1,0
7,2,2,41,1,2,2,1,5,44,1,540000,469278,4,0,0
5,1,2,81,8,1,2,3,NA,NA,NA,NA,221668,2,0,0
1,1,2,24,8,4,2,1,2,30,NA,200000,212104,1,0,0
10,2,1,65,1,2,2,1,2,30,NA,100000,232104,3,0,0
15,2,2,29,1,4,2,3,NA,NA,NA,NA,181245,1,1,1
13,1,2,17,8,3,1,3,NA,NA,NA,NA,1051389,4,0,0
6,1,2,62,1,1,2,3,NA,NA,NA,NA,684470,3,0,0
2,1,1,22,8,5,2,1,5,84,1,1000000,1275833,4,0,0
1,1,1,6,NA,0,1,NA,NA,NA,NA,NA,235847,2,0,0
11,1,1,33,1,6,2,1,3,44,1,7000000,2550000,4,0,1
8,1,2,33,2,4,2,1,5,45,1,500000,460214,4,0,0
5,1,1,41,2,5,2,1,4,44,1,650000,456243,4,0,0
5,1,2,58,5,4,2,1,2,30,NA,250000,203375,2,0,0
13,1,1,32,2,6,2,1,5,60,1,620000,271333,4,0,1
14,1,2,24,8,6,2,1,3,40,1,650000,1181667,4,0,0
1,1,2,39,2,4,2,1,2,20,NA,350000,352383,4,0,0
1,1,1,41,8,3,2,1,5,44,1,510000,826667,4,1,0
8,1,2,54,5,4,2,1,5,45,1,500000,300000,2,0,0
13,2,1,20,8,5,1,3,NA,NA,NA,NA,388196,4,0,0
13,1,1,38,1,1,2,1,5,45,1,430000,521758,3,0,0
14,1,2,46,2,6,2,1,3,44,1,650000,1619917,4,0,0
13,1,2,82,7,3,2,3,NA,NA,NA,NA,235635,3,0,-88
13,1,1,26,2,3,2,1,5,45,2,370000,112695,2,0,0
10,1,1,69,1,4,2,1,5,44,1,700000,659444,4,0,0
10,2,2,65,1,0,2,3,NA,NA,NA,NA,282148,1,0,0
7,2,2,66,8,2,2,3,NA,NA,NA,NA,645000,4,0,0
6,1,2,16,8,3,1,3,NA,NA,NA,NA,346190,4,0,0
1,1,1,25,8,5,1,3,NA,NA,NA,NA,1075000,4,0,0
8,1,2,34,8,6,2,2,NA,NA,NA,NA,553333,4,0,0
6,2,1,81,1,1,2,3,NA,NA,NA,NA,381968,4,0,0
5,1,1,39,1,5,2,1,2,84,NA,2000000,2510417,4,0,0
13,1,2,16,8,3,1,3,NA,NA,NA,NA,278072,NA,0,0
8,1,2,3,NA,0,1,NA,NA,NA,NA,NA,2416667,4,0,0
7,1,2,18,8,5,1,3,NA,NA,NA,NA,316667,4,0,0
8,1,2,68,1,4,2,1,1,50,NA,700000,1028166,4,0,0
16,1,1,33,2,4,2,1,5,72,1,500000,374760,4,0,0
13,1,1,17,8,4,1,3,NA,NA,NA,NA,109974,2,0,0
3,1,2,65,2,3,2,1,2,6,NA,60000,742609,4,1,0
7,2,1,15,8,3,1,3,NA,NA,NA,NA,50332,2,0,0
8,1,1,71,1,4,2,3,NA,NA,NA,NA,358333,3,0,0
2,1,2,17,8,4,1,3,NA,NA,NA,NA,375000,4,0,1
13,2,1,46,1,6,2,1,5,45,1,1200000,1100972,4,0,0
10,1,1,89,1,1,2,3,NA,NA,NA,NA,555902,4,0,0
12,1,1,3,NA,0,1,NA,NA,NA,NA,NA,361601,4,1,0
7,1,1,60,2,1,2,1,2,30,NA,400000,244000,4,0,0
13,1,2,62,8,1,2,1,7,45,3,600000,224000,3,0,1
4,2,1,38,2,4,2,1,5,48,3,500000,523748,4,0,0
16,1,2,42,2,6,2,1,3,44,1,1000000,665141,4,0,0
10,1,2,85,8,4,2,3,NA,NA,NA,NA,1086499,4,0,0
10,2,1,48,1,4,2,1,3,44,1,890000,413333,4,0,0
1,1,2,72,5,6,2,3,NA,NA,NA,NA,938000,4,0,0
8,2,1,63,8,1,2,1,5,44,1,480000,532778,3,1,0
4,1,2,1,NA,0,2,NA,NA,NA,NA,NA,301875,3,0,0
10,1,1,26,8,6,2,1,3,42,1,700000,1051042,4,0,0
13,1,2,62,8,1,2,2,NA,NA,NA,NA,162859,1,0,0
5,1,2,63,1,6,2,3,NA,NA,NA,NA,750000,4,0,0
14,1,1,8,NA,1,1,NA,NA,NA,NA,NA,1061977,4,0,0
13,1,1,80,7,1,2,3,NA,NA,NA,NA,536667,4,0,0
7,2,2,38,8,4,2,1,5,44,1,500000,427019,4,0,0
13,1,1,58,1,6,2,1,5,40,1,1400000,766250,4,0,0
13,1,2,46,2,6,2,2,NA,NA,NA,NA,273333,4,0,1
2,1,1,74,1,6,2,3,NA,NA,NA,NA,500000,4,0,0
9,1,1,62,1,4,2,1,2,40,NA,600000,333333,4,0,0
8,1,1,26,8,5,1,3,NA,NA,NA,NA,569688,4,0,0
14,1,2,24,8,4,2,1,9,30,NA,NA,365949,4,1,0
13,1,2,76,1,3,2,3,NA,NA,NA,NA,574393,4,0,0
3,1,2,70,1,4,2,3,NA,NA,NA,NA,532042,4,1,0
6,1,1,45,2,6,2,1,2,44,NA,5000000,2141250,4,0,0
13,1,2,63,6,6,2,3,NA,NA,NA,NA,315763,4,0,0
8,1,1,25,8,5,1,3,NA,NA,NA,NA,273574,3,0,0
9,2,2,21,8,4,2,1,2,20,NA,250000,400000,4,0,0
3,1,2,36,1,3,2,3,NA,NA,NA,NA,153806,2,0,0
5,1,2,7,NA,0,1,NA,NA,NA,NA,NA,640000,4,0,0
8,1,2,80,8,2,2,3,NA,NA,NA,NA,476795,2,0,0
16,1,1,47,8,6,2,1,5,40,1,500000,544148,4,0,0
14,1,2,58,1,6,2,1,2,22,NA,120000,328526,4,0,0
13,1,2,18,8,5,1,3,NA,NA,NA,NA,311689,4,0,0
2,1,2,50,1,3,2,3,NA,NA,NA,NA,527500,4,0,0
9,1,2,72,7,6,2,3,NA,NA,NA,NA,526667,4,0,0
8,1,2,53,5,6,2,1,5,44,1,700000,755209,4,0,0
3,1,2,41,1,6,2,1,3,45,1,900000,543333,4,1,0
3,1,2,23,8,5,1,3,NA,NA,NA,NA,342083,4,0,0
14,2,2,69,7,1,2,3,NA,NA,NA,NA,481250,4,0,0
4,1,1,58,1,4,2,1,5,48,1,1200000,859167,4,0,0
4,1,2,86,7,1,2,3,NA,NA,NA,NA,215419,2,0,0
10,1,1,12,NA,1,1,NA,NA,NA,NA,NA,197124,4,1,0
1,1,2,30,8,4,2,1,2,11,NA,100000,101798,1,0,0
13,1,2,6,NA,1,1,NA,NA,NA,NA,NA,341014,3,0,0
8,1,2,50,1,6,2,1,5,45,1,900000,1469167,4,0,0
1,1,1,24,2,6,2,1,5,44,1,473000,621250,4,0,0
6,1,1,43,1,4,2,1,5,48,2,550000,370458,3,0,0
15,1,1,5,NA,0,1,NA,NA,NA,NA,NA,199720,1,0,0
5,1,1,100,7,2,2,3,NA,NA,NA,NA,685500,4,0,0
2,1,2,70,7,4,2,3,NA,NA,NA,NA,286880,4,0,0
7,2,2,20,8,4,2,1,5,44,3,500000,399081,4,0,0
12,1,2,71,8,2,2,3,NA,NA,NA,NA,478593,4,0,0
15,1,2,34,6,3,2,1,2,30,NA,150000,275750,3,0,0
8,1,2,44,1,3,2,3,NA,NA,NA,NA,527778,4,0,0
2,1,1,19,8,5,1,3,NA,NA,NA,NA,477139,4,0,0
1,1,1,58,1,3,2,1,5,24,3,50000,252611,1,0,0
5,1,2,44,2,4,2,1,3,44,1,350000,368889,4,1,0
5,1,1,61,1,4,2,1,5,35,3,200000,195330,2,0,0
6,2,1,68,1,2,2,3,NA,NA,NA,NA,513647,4,0,0
16,1,1,77,1,6,2,3,NA,NA,NA,NA,421723,4,0,0
6,1,2,10,NA,1,1,NA,NA,NA,NA,NA,504659,4,0,0
8,1,1,56,1,4,2,1,5,45,1,510000,255278,4,0,0
4,2,2,86,7,1,2,3,NA,NA,NA,NA,766499,4,0,0
7,1,1,37,2,4,2,1,5,40,1,1800000,697451,4,0,0
4,1,2,23,8,4,2,2,NA,NA,NA,NA,250497,NA,1,0
7,1,1,47,1,4,2,1,5,44,1,NA,585706,4,0,0
10,1,2,71,7,3,2,2,NA,NA,NA,NA,656499,4,0,0
16,1,2,1,NA,0,2,NA,NA,NA,NA,NA,243406,4,0,0
8,1,2,84,7,4,2,3,NA,NA,NA,NA,286667,4,1,0
10,1,1,73,1,5,2,3,NA,NA,NA,NA,1159000,4,0,0
3,1,1,9,NA,1,1,NA,NA,NA,NA,NA,237000,3,0,1
5,1,2,18,8,4,2,1,5,44,1,NA,639063,4,1,0
15,1,1,32,8,4,2,1,5,45,3,1100000,1407500,4,0,0
13,1,1,16,8,3,1,3,NA,NA,NA,NA,611590,4,0,0
6,2,1,12,NA,1,1,NA,NA,NA,NA,NA,242432,4,0,0
13,1,2,69,1,3,2,3,NA,NA,NA,NA,557148,4,0,0
1,1,2,26,8,3,2,1,2,42,NA,480000,136000,1,0,1
10,1,2,16,8,3,1,3,NA,NA,NA,NA,219235,2,1,0
5,1,2,66,2,2,2,1,2,14,NA,100000,665963,4,0,0
3,1,2,14,8,3,1,NA,NA,NA,NA,NA,517500,3,0,0
13,1,1,87,7,3,2,3,NA,NA,NA,NA,812657,4,0,0
13,1,2,71,1,3,2,3,NA,NA,NA,NA,447398,4,1,0
